이름,속성,사용률,등급,버전,기간
응광,바위,1.3,4,3.1, 2022-10-01
응광,바위,1.8,4,3.0, 2022-09-16
응광,바위,2.0,4,3.0, 2022-09-01
이파,바람,0.1,4,5.7, 2025-07-16
이파,바람,0.1,4,5.6, 2025-06-16
이파,바람,0.3,4,5.6, 2025-05-16
중운,얼음,1.2,4,5.7, 2025-07-16
중운,얼음,1.0,4,5.6, 2025-06-16
중운,얼음,0.2,4,5.6, 2025-05-16
중운,얼음,0.2,4,5.5, 2025-04-16
중운,얼음,0.1,4,5.4, 2025-03-16
중운,얼음,0.8,4,5.4, 2025-02-16
중운,얼음,0.5,4,5.3, 2025-01-16
중운,얼음,0.1,4,5.2, 2024-12-16
중운,얼음,0.1,4,5.1, 2024-11-16
중운,얼음,0.1,4,5.1, 2024-10-16
중운,얼음,0.1,4,5.0, 2024-09-16
중운,얼음,0.1,4,4.8, 2024-08-16
중운,얼음,0.1,4,4.7, 2024-07-16
중운,얼음,0.1,4,4.7, 2024-06-16
중운,얼음,0.1,4,4.6, 2024-05-16
중운,얼음,0.1,4,4.6, 2024-05-01
중운,얼음,0.1,4,4.5, 2024-04-01
중운,얼음,0.1,4,4.5, 2024-03-16
중운,얼음,0.1,4,4.4, 2024-02-16
중운,얼음,0.1,4,4.4, 2024-02-01
중운,얼음,0.1,4,4.3, 2024-01-16
중운,얼음,0.1,4,4.3, 2024-01-01
중운,얼음,0.1,4,4.2, 2023-12-01
중운,얼음,0.1,4,4.2, 2023-11-16
중운,얼음,0.2,4,4.1, 2023-10-16
중운,얼음,0.1,4,4.1, 2023-10-01
중운,얼음,0.1,4,4.0, 2023-09-16
중운,얼음,0.1,4,4.0, 2023-09-01
중운,얼음,0.2,4,3.8, 2023-08-01
중운,얼음,0.1,4,3.8, 2023-07-16
중운,얼음,0.2,4,3.7, 2023-07-01
중운,얼음,0.2,4,3.7, 2023-06-16
중운,얼음,0.4,4,3.7, 2023-06-01
중운,얼음,0.1,4,3.6, 2023-05-16
중운,얼음,0.1,4,3.6, 2023-04-16
중운,얼음,0.4,4,3.5, 2023-04-01
중운,얼음,0.5,4,3.5, 2023-03-16
중운,얼음,0.1,4,3.4, 2023-02-16
중운,얼음,0.1,4,3.4, 2023-02-01
중운,얼음,0.2,4,3.4, 2023-01-16
중운,얼음,0.2,4,3.3, 2023-01-01
중운,얼음,0.2,4,3.3, 2022-12-16
중운,얼음,0.2,4,3.2, 2022-12-01
중운,얼음,0.4,4,3.2, 2022-11-16
중운,얼음,0.5,4,3.2, 2022-11-01
중운,얼음,0.6,4,3.1, 2022-10-16
중운,얼음,0.6,4,3.1, 2022-10-01
중운,얼음,0.9,4,3.0, 2022-09-16
중운,얼음,0.8,4,3.0, 2022-09-01
카베,풀,0.1,4,5.7, 2025-07-16
카베,풀,0.1,4,5.6, 2025-06-16
카베,풀,0.1,4,5.6, 2025-05-16
카베,풀,0.1,4,5.5, 2025-04-16
카베,풀,0.1,4,5.4, 2025-03-16
카베,풀,0.2,4,5.4, 2025-02-16
카베,풀,0.1,4,5.3, 2025-01-16
카베,풀,0.2,4,5.2, 2024-12-16
카베,풀,0.3,4,5.1, 2024-11-16
카베,풀,0.3,4,5.1, 2024-10-16
카베,풀,0.3,4,5.0, 2024-09-16
카베,풀,0.4,4,4.8, 2024-08-16
카베,풀,0.3,4,4.7, 2024-07-16
카베,풀,0.2,4,4.7, 2024-06-16
카베,풀,0.3,4,4.6, 2024-05-16
카베,풀,0.2,4,4.6, 2024-05-01
카베,풀,0.5,4,4.5, 2024-04-01
카베,풀,0.6,4,4.5, 2024-03-16
카베,풀,0.4,4,4.4, 2024-02-16
카베,풀,0.3,4,4.4, 2024-02-01
카베,풀,0.6,4,4.3, 2024-01-16
카베,풀,0.4,4,4.3, 2024-01-01
카베,풀,0.4,4,4.2, 2023-12-01
카베,풀,0.3,4,4.2, 2023-11-16
카베,풀,0.7,4,4.1, 2023-10-16
카베,풀,0.4,4,4.1, 2023-10-01
카베,풀,0.4,4,4.0, 2023-09-16
카베,풀,0.4,4,4.0, 2023-09-01
카베,풀,1.1,4,3.8, 2023-08-01
카베,풀,1.1,4,3.8, 2023-07-16
카베,풀,0.6,4,3.7, 2023-07-01
카베,풀,0.5,4,3.7, 2023-06-16
카베,풀,0.5,4,3.7, 2023-06-01
카베,풀,2.7,4,3.6, 2023-05-16
카치나,바위,0.3,4,5.7, 2025-07-16
카치나,바위,0.2,4,5.6, 2025-06-16
카치나,바위,0.3,4,5.6, 2025-05-16
카치나,바위,1.2,4,5.5, 2025-04-16
카치나,바위,2.5,4,5.4, 2025-03-16
카치나,바위,1.1,4,5.4, 2025-02-16
카치나,바위,1.0,4,5.3, 2025-01-16
카치나,바위,1.7,4,5.2, 2024-12-16
카치나,바위,1.3,4,5.1, 2024-11-16
카치나,바위,1.9,4,5.1, 2024-10-16
카치나,바위,2.4,4,5.0, 2024-09-16
캔디스,물,0.3,4,5.7, 2025-07-16
캔디스,물,0.1,4,5.6, 2025-06-16
캔디스,물,0.1,4,5.6, 2025-05-16
캔디스,물,0.1,4,5.5, 2025-04-16
캔디스,물,0.1,4,5.4, 2025-03-16
캔디스,물,0.1,4,5.4, 2025-02-16
캔디스,물,0.1,4,5.3, 2025-01-16
캔디스,물,0.2,4,5.2, 2024-12-16
캔디스,물,0.2,4,5.1, 2024-11-16
캔디스,물,0.3,4,5.1, 2024-10-16
캔디스,물,0.2,4,5.0, 2024-09-16
캔디스,물,0.1,4,4.8, 2024-08-16
캔디스,물,0.1,4,4.7, 2024-07-16
캔디스,물,0.1,4,4.7, 2024-06-16
캔디스,물,0.1,4,4.6, 2024-05-16
캔디스,물,0.1,4,4.6, 2024-05-01
캔디스,물,0.1,4,4.5, 2024-04-01
캔디스,물,0.1,4,4.5, 2024-03-16
캔디스,물,0.1,4,4.4, 2024-02-16
캔디스,물,0.1,4,4.4, 2024-02-01
캔디스,물,0.1,4,4.3, 2024-01-16
캔디스,물,0.1,4,4.3, 2024-01-01
캔디스,물,0.1,4,4.2, 2023-12-01
캔디스,물,0.1,4,4.2, 2023-11-16
캔디스,물,0.2,4,4.1, 2023-10-16
캔디스,물,0.1,4,4.1, 2023-10-01
캔디스,물,0.1,4,4.0, 2023-09-16
캔디스,물,0.1,4,4.0, 2023-09-01
캔디스,물,0.1,4,3.8, 2023-08-01
캔디스,물,0.1,4,3.8, 2023-07-16
캔디스,물,0.1,4,3.7, 2023-07-01
캔디스,물,0.1,4,3.7, 2023-06-16
캔디스,물,0.1,4,3.7, 2023-06-01
캔디스,물,0.1,4,3.6, 2023-05-16
캔디스,물,0.1,4,3.6, 2023-04-16
캔디스,물,0.1,4,3.5, 2023-04-01
캔디스,물,0.1,4,3.5, 2023-03-16
캔디스,물,0.1,4,3.4, 2023-02-16
캔디스,물,0.1,4,3.4, 2023-02-01
캔디스,물,0.1,4,3.4, 2023-01-16
캔디스,물,0.1,4,3.3, 2023-01-01
캔디스,물,0.1,4,3.3, 2022-12-16
캔디스,물,0.1,4,3.2, 2022-12-01
캔디스,물,0.1,4,3.2, 2022-11-16
캔디스,물,0.1,4,3.2, 2022-11-01
캔디스,물,0.1,4,3.1, 2022-10-16
캔디스,물,0.2,4,3.1, 2022-10-01
케이아,얼음,1.9,4,5.7, 2025-07-16
케이아,얼음,2.7,4,5.6, 2025-06-16
케이아,얼음,0.5,4,5.6, 2025-05-16
케이아,얼음,0.9,4,5.5, 2025-04-16
케이아,얼음,0.5,4,5.4, 2025-03-16
케이아,얼음,1.4,4,5.4, 2025-02-16
케이아,얼음,1.4,4,5.3, 2025-01-16
케이아,얼음,0.2,4,5.2, 2024-12-16
케이아,얼음,0.2,4,5.1, 2024-11-16
케이아,얼음,0.2,4,5.1, 2024-10-16
케이아,얼음,0.2,4,5.0, 2024-09-16
케이아,얼음,0.2,4,4.8, 2024-08-16
케이아,얼음,0.3,4,4.7, 2024-07-16
케이아,얼음,0.2,4,4.7, 2024-06-16
케이아,얼음,0.3,4,4.6, 2024-05-16
케이아,얼음,0.3,4,4.6, 2024-05-01
케이아,얼음,0.3,4,4.5, 2024-04-01
케이아,얼음,0.3,4,4.5, 2024-03-16
케이아,얼음,0.3,4,4.4, 2024-02-16
케이아,얼음,0.3,4,4.4, 2024-02-01
케이아,얼음,0.2,4,4.3, 2024-01-16
케이아,얼음,0.2,4,4.3, 2024-01-01
케이아,얼음,0.3,4,4.2, 2023-12-01
케이아,얼음,0.2,4,4.2, 2023-11-16
케이아,얼음,0.5,4,4.1, 2023-10-16
케이아,얼음,0.3,4,4.1, 2023-10-01
케이아,얼음,0.4,4,4.0, 2023-09-16
케이아,얼음,0.3,4,4.0, 2023-09-01
케이아,얼음,0.5,4,3.8, 2023-08-01
케이아,얼음,0.4,4,3.8, 2023-07-16
케이아,얼음,0.4,4,3.7, 2023-07-01
케이아,얼음,0.4,4,3.7, 2023-06-16
케이아,얼음,0.4,4,3.7, 2023-06-01
케이아,얼음,0.3,4,3.6, 2023-05-16
케이아,얼음,0.2,4,3.6, 2023-04-16
케이아,얼음,0.5,4,3.5, 2023-04-01
케이아,얼음,0.5,4,3.5, 2023-03-16
케이아,얼음,0.3,4,3.4, 2023-02-16
케이아,얼음,0.3,4,3.4, 2023-02-01
케이아,얼음,0.3,4,3.4, 2023-01-16
케이아,얼음,0.3,4,3.3, 2023-01-01
케이아,얼음,0.3,4,3.3, 2022-12-16
케이아,얼음,0.3,4,3.2, 2022-12-01
케이아,얼음,0.4,4,3.2, 2022-11-16
케이아,얼음,0.7,4,3.2, 2022-11-01
케이아,얼음,0.8,4,3.1, 2022-10-16
케이아,얼음,0.6,4,3.1, 2022-10-01
케이아,얼음,0.7,4,3.0, 2022-09-16
케이아,얼음,0.6,4,3.0, 2022-09-01
콜레이,풀,0.1,4,5.7, 2025-07-16
콜레이,풀,0.1,4,5.6, 2025-06-16
콜레이,풀,0.4,4,5.6, 2025-05-16
콜레이,풀,0.3,4,5.5, 2025-04-16
콜레이,풀,0.1,4,5.4, 2025-03-16
콜레이,풀,0.4,4,5.4, 2025-02-16
콜레이,풀,0.1,4,5.3, 2025-01-16
콜레이,풀,1.0,4,5.2, 2024-12-16
콜레이,풀,1.1,4,5.1, 2024-11-16
콜레이,풀,0.3,4,5.1, 2024-10-16
콜레이,풀,0.3,4,5.0, 2024-09-16
콜레이,풀,0.2,4,4.8, 2024-08-16
콜레이,풀,0.2,4,4.7, 2024-07-16
콜레이,풀,0.3,4,4.7, 2024-06-16
콜레이,풀,0.2,4,4.6, 2024-05-16
콜레이,풀,0.2,4,4.6, 2024-05-01
콜레이,풀,0.3,4,4.5, 2024-04-01
콜레이,풀,0.3,4,4.5, 2024-03-16
콜레이,풀,1.0,4,4.4, 2024-02-16
콜레이,풀,0.8,4,4.4, 2024-02-01
콜레이,풀,0.7,4,4.3, 2024-01-16
콜레이,풀,0.7,4,4.3, 2024-01-01
콜레이,풀,0.4,4,4.2, 2023-12-01
콜레이,풀,0.4,4,4.2, 2023-11-16
콜레이,풀,0.5,4,4.1, 2023-10-16
콜레이,풀,0.7,4,4.1, 2023-10-01
콜레이,풀,0.5,4,4.0, 2023-09-16
콜레이,풀,0.7,4,4.0, 2023-09-01
콜레이,풀,1.2,4,3.8, 2023-08-01
콜레이,풀,1.3,4,3.8, 2023-07-16
콜레이,풀,0.5,4,3.7, 2023-07-01
콜레이,풀,0.6,4,3.7, 2023-06-16
콜레이,풀,1.0,4,3.7, 2023-06-01
콜레이,풀,2.5,4,3.6, 2023-05-16
콜레이,풀,2.4,4,3.6, 2023-04-16
콜레이,풀,1.1,4,3.5, 2023-04-01
콜레이,풀,1.0,4,3.5, 2023-03-16
콜레이,풀,1.5,4,3.4, 2023-02-16
콜레이,풀,2.1,4,3.4, 2023-02-01
콜레이,풀,2.2,4,3.4, 2023-01-16
콜레이,풀,2.1,4,3.3, 2023-01-01
콜레이,풀,2.9,4,3.3, 2022-12-16
콜레이,풀,6.7,4,3.2, 2022-12-01
콜레이,풀,7.5,4,3.2, 2022-11-16
콜레이,풀,9.0,4,3.2, 2022-11-01
콜레이,풀,16.5,4,3.1, 2022-10-16
콜레이,풀,5.6,4,3.1, 2022-10-01
콜레이,풀,3.3,4,3.0, 2022-09-16
콜레이,풀,2.3,4,3.0, 2022-09-01
쿠죠 사라,번개,0.8,4,5.7, 2025-07-16
쿠죠 사라,번개,1.3,4,5.6, 2025-06-16
쿠죠 사라,번개,1.0,4,5.6, 2025-05-16
쿠죠 사라,번개,1.9,4,5.5, 2025-04-16
쿠죠 사라,번개,3.2,4,5.4, 2025-03-16
쿠죠 사라,번개,2.4,4,5.4, 2025-02-16
쿠죠 사라,번개,1.6,4,5.3, 2025-01-16
쿠죠 사라,번개,2.2,4,5.2, 2024-12-16
쿠죠 사라,번개,6.4,4,5.1, 2024-11-16
쿠죠 사라,번개,4.4,4,5.1, 2024-10-16
쿠죠 사라,번개,2.6,4,5.0, 2024-09-16
쿠죠 사라,번개,2.7,4,4.8, 2024-08-16
쿠죠 사라,번개,3.4,4,4.7, 2024-07-16
쿠죠 사라,번개,3.5,4,4.7, 2024-06-16
쿠죠 사라,번개,3.5,4,4.6, 2024-05-16
쿠죠 사라,번개,3.4,4,4.6, 2024-05-01
쿠죠 사라,번개,4.2,4,4.5, 2024-04-01
쿠죠 사라,번개,4.4,4,4.5, 2024-03-16
쿠죠 사라,번개,6.7,4,4.4, 2024-02-16
쿠죠 사라,번개,7.6,4,4.4, 2024-02-01
쿠죠 사라,번개,5.9,4,4.3, 2024-01-16
쿠죠 사라,번개,2.8,4,4.3, 2024-01-01
쿠죠 사라,번개,2.3,4,4.2, 2023-12-01
쿠죠 사라,번개,3.1,4,4.2, 2023-11-16
쿠죠 사라,번개,1.7,4,4.1, 2023-10-16
쿠죠 사라,번개,2.4,4,4.1, 2023-10-01
쿠죠 사라,번개,4.5,4,4.0, 2023-09-16
쿠죠 사라,번개,5.6,4,4.0, 2023-09-01
쿠죠 사라,번개,3.7,4,3.8, 2023-08-01
쿠죠 사라,번개,4.6,4,3.8, 2023-07-16
쿠죠 사라,번개,9.5,4,3.7, 2023-07-01
쿠죠 사라,번개,11.0,4,3.7, 2023-06-16
쿠죠 사라,번개,12.4,4,3.7, 2023-06-01
쿠죠 사라,번개,10.1,4,3.6, 2023-05-16
쿠죠 사라,번개,12.2,4,3.6, 2023-04-16
쿠죠 사라,번개,4.9,4,3.5, 2023-04-01
쿠죠 사라,번개,7.2,4,3.5, 2023-03-16
쿠죠 사라,번개,10.1,4,3.4, 2023-02-16
쿠죠 사라,번개,12.1,4,3.4, 2023-02-01
쿠죠 사라,번개,14.4,4,3.4, 2023-01-16
쿠죠 사라,번개,15.7,4,3.3, 2023-01-01
쿠죠 사라,번개,7.9,4,3.3, 2022-12-16
쿠죠 사라,번개,11.6,4,3.2, 2022-12-01
쿠죠 사라,번개,10.2,4,3.2, 2022-11-16
쿠죠 사라,번개,7.2,4,3.2, 2022-11-01
쿠죠 사라,번개,8.2,4,3.1, 2022-10-16
쿠죠 사라,번개,8.6,4,3.1, 2022-10-01
쿠죠 사라,번개,9.7,4,3.0, 2022-09-16
쿠죠 사라,번개,10.6,4,3.0, 2022-09-01
쿠키 시노부,번개,3.8,4,5.7, 2025-07-16
쿠키 시노부,번개,6.3,4,5.6, 2025-06-16
쿠키 시노부,번개,14.7,4,5.6, 2025-05-16
쿠키 시노부,번개,17.3,4,5.5, 2025-04-16
쿠키 시노부,번개,19.0,4,5.4, 2025-03-16
쿠키 시노부,번개,13.6,4,5.4, 2025-02-16
쿠키 시노부,번개,21.0,4,5.3, 2025-01-16
쿠키 시노부,번개,35.5,4,5.2, 2024-12-16
쿠키 시노부,번개,30.0,4,5.1, 2024-11-16
쿠키 시노부,번개,23.1,4,5.1, 2024-10-16
쿠키 시노부,번개,35.3,4,5.0, 2024-09-16
쿠키 시노부,번개,26.7,4,4.8, 2024-08-16
쿠키 시노부,번개,37.9,4,4.7, 2024-07-16
쿠키 시노부,번개,37.3,4,4.7, 2024-06-16
쿠키 시노부,번개,36.3,4,4.6, 2024-05-16
쿠키 시노부,번개,38.6,4,4.6, 2024-05-01
쿠키 시노부,번개,31.4,4,4.5, 2024-04-01
쿠키 시노부,번개,33.6,4,4.5, 2024-03-16
쿠키 시노부,번개,38.7,4,4.4, 2024-02-16
쿠키 시노부,번개,38.2,4,4.4, 2024-02-01
쿠키 시노부,번개,44.7,4,4.3, 2024-01-16
쿠키 시노부,번개,47.9,4,4.3, 2024-01-01
쿠키 시노부,번개,39.8,4,4.2, 2023-12-01
쿠키 시노부,번개,38.8,4,4.2, 2023-11-16
쿠키 시노부,번개,49.8,4,4.1, 2023-10-16
쿠키 시노부,번개,51.7,4,4.1, 2023-10-01
쿠키 시노부,번개,50.4,4,4.0, 2023-09-16
쿠키 시노부,번개,49.9,4,4.0, 2023-09-01
쿠키 시노부,번개,50.3,4,3.8, 2023-08-01
쿠키 시노부,번개,47.8,4,3.8, 2023-07-16
쿠키 시노부,번개,46.2,4,3.7, 2023-07-01
쿠키 시노부,번개,42.7,4,3.7, 2023-06-16
쿠키 시노부,번개,37.1,4,3.7, 2023-06-01
쿠키 시노부,번개,46.0,4,3.6, 2023-05-16
쿠키 시노부,번개,39.5,4,3.6, 2023-04-16
쿠키 시노부,번개,37.0,4,3.5, 2023-04-01
쿠키 시노부,번개,39.4,4,3.5, 2023-03-16
쿠키 시노부,번개,38.0,4,3.4, 2023-02-16
쿠키 시노부,번개,37.0,4,3.4, 2023-02-01
쿠키 시노부,번개,30.1,4,3.4, 2023-01-16
쿠키 시노부,번개,24.9,4,3.3, 2023-01-01
쿠키 시노부,번개,22.9,4,3.3, 2022-12-16
쿠키 시노부,번개,15.4,4,3.2, 2022-12-01
쿠키 시노부,번개,12.7,4,3.2, 2022-11-16
쿠키 시노부,번개,12.1,4,3.2, 2022-11-01
쿠키 시노부,번개,5.9,4,3.1, 2022-10-16
쿠키 시노부,번개,3.1,4,3.1, 2022-10-01
쿠키 시노부,번개,1.5,4,3.0, 2022-09-16
쿠키 시노부,번개,1.4,4,3.0, 2022-09-01
키라라,풀,0.1,4,5.7, 2025-07-16
키라라,풀,0.1,4,5.6, 2025-06-16
키라라,풀,0.5,4,5.6, 2025-05-16
키라라,풀,0.4,4,5.5, 2025-04-16
키라라,풀,0.5,4,5.4, 2025-03-16
키라라,풀,0.6,4,5.4, 2025-02-16
키라라,풀,0.4,4,5.3, 2025-01-16
키라라,풀,0.9,4,5.2, 2024-12-16
키라라,풀,1.3,4,5.1, 2024-11-16
키라라,풀,0.8,4,5.1, 2024-10-16
키라라,풀,1.5,4,5.0, 2024-09-16
키라라,풀,1.1,4,4.8, 2024-08-16
키라라,풀,0.9,4,4.7, 2024-07-16
키라라,풀,1.1,4,4.7, 2024-06-16
키라라,풀,0.7,4,4.6, 2024-05-16
키라라,풀,0.8,4,4.6, 2024-05-01
키라라,풀,0.9,4,4.5, 2024-04-01
키라라,풀,0.8,4,4.5, 2024-03-16
키라라,풀,1.2,4,4.4, 2024-02-16
키라라,풀,1.3,4,4.4, 2024-02-01
키라라,풀,1.6,4,4.3, 2024-01-16
키라라,풀,1.7,4,4.3, 2024-01-01
키라라,풀,1.1,4,4.2, 2023-12-01
키라라,풀,1.3,4,4.2, 2023-11-16
키라라,풀,1.4,4,4.1, 2023-10-16
키라라,풀,1.5,4,4.1, 2023-10-01
키라라,풀,1.6,4,4.0, 2023-09-16
키라라,풀,2.1,4,4.0, 2023-09-01
키라라,풀,2.9,4,3.8, 2023-08-01
키라라,풀,3.9,4,3.8, 2023-07-16
키라라,풀,5.1,4,3.7, 2023-07-01
키라라,풀,5.0,4,3.7, 2023-06-16
키라라,풀,4.3,4,3.7, 2023-06-01
토마,불,1.8,4,5.7, 2025-07-16
토마,불,2.8,4,5.6, 2025-06-16
토마,불,6.4,4,5.6, 2025-05-16
토마,불,3.5,4,5.5, 2025-04-16
토마,불,1.5,4,5.4, 2025-03-16
토마,불,2.6,4,5.4, 2025-02-16
토마,불,5.9,4,5.3, 2025-01-16
토마,불,6.4,4,5.2, 2024-12-16
토마,불,5.3,4,5.1, 2024-11-16
토마,불,5.3,4,5.1, 2024-10-16
토마,불,2.8,4,5.0, 2024-09-16
토마,불,1.8,4,4.8, 2024-08-16
토마,불,1.3,4,4.7, 2024-07-16
토마,불,1.2,4,4.7, 2024-06-16
토마,불,2.3,4,4.6, 2024-05-16
토마,불,2.2,4,4.6, 2024-05-01
토마,불,1.0,4,4.5, 2024-04-01
토마,불,0.8,4,4.5, 2024-03-16
토마,불,1.0,4,4.4, 2024-02-16
토마,불,1.0,4,4.4, 2024-02-01
토마,불,1.5,4,4.3, 2024-01-16
토마,불,1.5,4,4.3, 2024-01-01
토마,불,0.5,4,4.2, 2023-12-01
토마,불,0.6,4,4.2, 2023-11-16
토마,불,1.0,4,4.1, 2023-10-16
토마,불,1.0,4,4.1, 2023-10-01
토마,불,0.9,4,4.0, 2023-09-16
토마,불,1.1,4,4.0, 2023-09-01
토마,불,0.9,4,3.8, 2023-08-01
토마,불,0.6,4,3.8, 2023-07-16
토마,불,1.6,4,3.7, 2023-07-01
토마,불,1.8,4,3.7, 2023-06-16
토마,불,2.6,4,3.7, 2023-06-01
토마,불,0.9,4,3.6, 2023-05-16
토마,불,0.8,4,3.6, 2023-04-16
토마,불,0.9,4,3.5, 2023-04-01
토마,불,1.1,4,3.5, 2023-03-16
토마,불,1.0,4,3.4, 2023-02-16
토마,불,0.6,4,3.4, 2023-02-01
토마,불,0.7,4,3.4, 2023-01-16
토마,불,0.7,4,3.3, 2023-01-01
토마,불,0.6,4,3.3, 2022-12-16
토마,불,0.5,4,3.2, 2022-12-01
토마,불,0.5,4,3.2, 2022-11-16
토마,불,0.5,4,3.2, 2022-11-01
토마,불,0.2,4,3.1, 2022-10-16
토마,불,0.5,4,3.1, 2022-10-01
토마,불,0.6,4,3.0, 2022-09-16
토마,불,0.8,4,3.0, 2022-09-01
파루잔,바람,2.2,4,5.7, 2025-07-16
파루잔,바람,2.3,4,5.6, 2025-06-16
파루잔,바람,3.4,4,5.6, 2025-05-16
파루잔,바람,4.4,4,5.5, 2025-04-16
파루잔,바람,6.1,4,5.4, 2025-03-16
파루잔,바람,6.4,4,5.4, 2025-02-16
파루잔,바람,2.3,4,5.3, 2025-01-16
파루잔,바람,5.7,4,5.2, 2024-12-16
파루잔,바람,10.3,4,5.1, 2024-11-16
파루잔,바람,8.7,4,5.1, 2024-10-16
파루잔,바람,8.7,4,5.0, 2024-09-16
파루잔,바람,10.3,4,4.8, 2024-08-16
파루잔,바람,10.9,4,4.7, 2024-07-16
파루잔,바람,9.2,4,4.7, 2024-06-16
파루잔,바람,8.9,4,4.6, 2024-05-16
파루잔,바람,6.0,4,4.6, 2024-05-01
파루잔,바람,13.2,4,4.5, 2024-04-01
파루잔,바람,13.5,4,4.5, 2024-03-16
파루잔,바람,18.5,4,4.4, 2024-02-16
파루잔,바람,10.7,4,4.4, 2024-02-01
파루잔,바람,8.5,4,4.3, 2024-01-16
파루잔,바람,8.7,4,4.3, 2024-01-01
파루잔,바람,5.2,4,4.2, 2023-12-01
파루잔,바람,4.1,4,4.2, 2023-11-16
파루잔,바람,9.3,4,4.1, 2023-10-16
파루잔,바람,9.8,4,4.1, 2023-10-01
파루잔,바람,11.9,4,4.0, 2023-09-16
파루잔,바람,10.9,4,4.0, 2023-09-01
파루잔,바람,12.6,4,3.8, 2023-08-01
파루잔,바람,4.9,4,3.8, 2023-07-16
파루잔,바람,5.7,4,3.7, 2023-07-01
파루잔,바람,5.3,4,3.7, 2023-06-16
파루잔,바람,5.2,4,3.7, 2023-06-01
파루잔,바람,6.0,4,3.6, 2023-05-16
파루잔,바람,7.8,4,3.6, 2023-04-16
파루잔,바람,7.6,4,3.5, 2023-04-01
파루잔,바람,7.6,4,3.5, 2023-03-16
파루잔,바람,11.3,4,3.4, 2023-02-16
파루잔,바람,13.6,4,3.4, 2023-02-01
파루잔,바람,20.1,4,3.4, 2023-01-16
파루잔,바람,21.8,4,3.3, 2023-01-01
파루잔,바람,18.1,4,3.3, 2022-12-16
프레미네,얼음,0.1,4,5.7, 2025-07-16
프레미네,얼음,0.1,4,5.6, 2025-06-16
프레미네,얼음,0.1,4,5.6, 2025-05-16
프레미네,얼음,0.1,4,5.5, 2025-04-16
프레미네,얼음,0.1,4,5.4, 2025-03-16
프레미네,얼음,0.2,4,5.4, 2025-02-16
프레미네,얼음,0.1,4,5.3, 2025-01-16
프레미네,얼음,0.1,4,5.2, 2024-12-16
프레미네,얼음,0.1,4,5.1, 2024-11-16
프레미네,얼음,0.1,4,5.1, 2024-10-16
프레미네,얼음,0.1,4,5.0, 2024-09-16
프레미네,얼음,0.3,4,4.8, 2024-08-16
프레미네,얼음,0.1,4,4.7, 2024-07-16
프레미네,얼음,0.1,4,4.7, 2024-06-16
프레미네,얼음,0.1,4,4.6, 2024-05-16
프레미네,얼음,0.1,4,4.6, 2024-05-01
프레미네,얼음,0.3,4,4.5, 2024-04-01
프레미네,얼음,0.1,4,4.5, 2024-03-16
프레미네,얼음,0.1,4,4.4, 2024-02-16
프레미네,얼음,0.1,4,4.4, 2024-02-01
프레미네,얼음,0.1,4,4.3, 2024-01-16
프레미네,얼음,0.1,4,4.3, 2024-01-01
프레미네,얼음,0.1,4,4.2, 2023-12-01
프레미네,얼음,0.1,4,4.2, 2023-11-16
프레미네,얼음,0.1,4,4.1, 2023-10-16
프레미네,얼음,0.1,4,4.1, 2023-10-01
프레미네,얼음,0.1,4,4.0, 2023-09-16
피슬,번개,1.8,4,5.7, 2025-07-16
피슬,번개,2.7,4,5.6, 2025-06-16
피슬,번개,7.2,4,5.6, 2025-05-16
피슬,번개,4.9,4,5.5, 2025-04-16
피슬,번개,9.1,4,5.4, 2025-03-16
피슬,번개,5.7,4,5.4, 2025-02-16
피슬,번개,10.4,4,5.3, 2025-01-16
피슬,번개,14.5,4,5.2, 2024-12-16
피슬,번개,16.5,4,5.1, 2024-11-16
피슬,번개,7.3,4,5.1, 2024-10-16
피슬,번개,7.1,4,5.0, 2024-09-16
피슬,번개,8.0,4,4.8, 2024-08-16
피슬,번개,11.8,4,4.7, 2024-07-16
피슬,번개,14.9,4,4.7, 2024-06-16
피슬,번개,6.0,4,4.6, 2024-05-16
피슬,번개,5.7,4,4.6, 2024-05-01
피슬,번개,8.0,4,4.5, 2024-04-01
피슬,번개,7.3,4,4.5, 2024-03-16
피슬,번개,10.0,4,4.4, 2024-02-16
피슬,번개,10.6,4,4.4, 2024-02-01
피슬,번개,7.0,4,4.3, 2024-01-16
피슬,번개,8.0,4,4.3, 2024-01-01
피슬,번개,10.3,4,4.2, 2023-12-01
피슬,번개,10.4,4,4.2, 2023-11-16
피슬,번개,9.9,4,4.1, 2023-10-16
피슬,번개,8.0,4,4.1, 2023-10-01
피슬,번개,5.7,4,4.0, 2023-09-16
피슬,번개,5.3,4,4.0, 2023-09-01
피슬,번개,6.1,4,3.8, 2023-08-01
피슬,번개,6.5,4,3.8, 2023-07-16
피슬,번개,6.5,4,3.7, 2023-07-01
피슬,번개,6.3,4,3.7, 2023-06-16
피슬,번개,6.9,4,3.7, 2023-06-01
피슬,번개,12.2,4,3.6, 2023-05-16
피슬,번개,12.7,4,3.6, 2023-04-16
피슬,번개,7.0,4,3.5, 2023-04-01
피슬,번개,8.8,4,3.5, 2023-03-16
피슬,번개,10.5,4,3.4, 2023-02-16
피슬,번개,14.1,4,3.4, 2023-02-01
피슬,번개,10.0,4,3.4, 2023-01-16
피슬,번개,10.4,4,3.3, 2023-01-01
피슬,번개,13.7,4,3.3, 2022-12-16
피슬,번개,14.1,4,3.2, 2022-12-01
